archive,nested_source,path,bytes,sha256
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/HANDOFF.md,11535,e2432f5a33ce37014607560e1b53ad6072345fcf2220a17fc0ad536fcfdecb33
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/README.md,3463,f473e59e04e925d35e5c886e032dc6e104992da41471c44bad4d476105391bb7
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/SHA256SUMS.txt,12926,31d18b20c2548e69968651a529c6b7181c919fa873f4b5f180f167c274b1997b
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_induction_diff.py,16599,afa6d49c68ab11abaa62cd248e5429c8d154879844bf09a6a38029d3b5adbe7f
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l1a_signature_table_audit.py,8792,3a1de686ab4c75cdc65e5a6df3375d6d9c150132717a2336e505f0587ff8c757
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l1b_formal_geometry_audit.py,8498,8b3318a1fb792171b1cce734b491abf45cc39e8e5f318af6f5891bc7f76cd18d
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l2a_connected_inert_tail_audit.py,10342,02f0c5684df8e9729c138fcca5edfa6626bf83d3580d6a14437e15751625d689
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l2a_t12_bridge_quotient_audit.py,15522,425ee81baee1b047763d4290f2f7e7ee2abf318371053eea3339bb4500b39501
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l2b_parametric_reachability_audit.py,18945,46f3b1e0b63125cd833939a91b4fc7f70ad68f19b546bf7437806bd324a6fc04
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_l3_exhaustiveness_assembly_audit.py,7685,1711989448dfaf4df09b60497d79a95a608c1671a266ecd50135738ebda5f37d
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/a4_template_audit.py,3569,6c5a07fd10e558be0a6feb64fc9f01500c7f31dabfcd3aaa26ea2632f44d8a4f
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/anchor_windowed_quotient_v2.py,6206,aa49d6908c6d89e54deeeb2803b5870e8cff965a5cc41d2196a89c716a37d499
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/anchor_windowed_quotient_v3.py,4805,b6a86cbd41d4132ce87256619f9fba7646b9f1a98e7bfd9aa8e3f513947c666f
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/anchor_windowed_quotient.py,6445,e851bde10c41976fbc1a92726f6f3ab9ee6178d50df949b76f821ea3265f7295
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/closure_level_crosscheck.py,4861,867da06cdcedfcf8c81f95f6cac176fa23d6f59ce3ba049218354bc53bd3c7b4
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/contact_automaton.py,5211,e178822e8f99c05659392ae7f4062e52e82a5a3c320c251df9f37718395635ec
D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,D7D2_A4L3_FINAL_HANDOFF_checkpoint(3).zip,CODE_SNAPSHOT/D7D2_A4L3_FINAL_HANDOFF_checkpoint(3)/C07D7D0_D7D1_A4L3_Checkpoint/d7d1_rank_classification_freeze/D7D2-A1_progress_note.md,4254,e7675e7f28556011bc0816812273108bcb13aec3e0f0445cd661b1d81516265b
